Earnings_Year,Earnings_Canada_Yearly,Housing_Price_Year,Composite_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark,Office_year,office_region,office_property_type,office_index_value,consumer_index_year,consumer_index_value
2010,44288.4,2014,415400,377200,522200,345800,301600,1981,"Calgary, Alberta",Warehouse,67,1984,93.1
2010,44167.76,2014,417900,379200,525600,347500,303900,1981,"Calgary, Alberta",Warehouse,61.2,1984,92.5
2010,44353.4,2014,417900,379400,525900,348000,303400,1981,"Calgary, Alberta",Warehouse,67,1984,93.1
2010,44850,2014,418200,378700,526500,349200,303900,1981,"Calgary, Alberta",Shopping centre,68.7,1984,92.6
2010,44733,2014,418400,378100,527100,350100,304900,1981,"Calgary, Alberta",Shopping centre,61.7,1984,0
2010,44939.96,2014,419100,377800,528300,351100,305600,1981,"Calgary, Alberta",Shopping centre,64,1984,0
2010,45139.64,2014,419400,377200,529000,351600,306400,1981,"Calgary, Alberta",Shopping centre,70,1984,63.1
2011,45295.12,2014,419100,376500,530200,350900,305500,1981,"Calgary, Alberta",Shopping centre,68,1984,4.1
2011,45620.64,2015,420400,378700,531100,351100,306200,1981,"Calgary, Alberta",Light factory,65.9,1984,64.3
2011,45423.04,2015,424100,382000,537200,353900,307000,1981,"Calgary, Alberta",Light factory,61.5,1984,76.7
2011,45212.44,2015,428800,386200,544300,357700,308900,1981,"Calgary, Alberta",Light factory,69.8,1984,74.5
2011,45190.08,2015,432800,389300,549800,359800,311700,1981,"Calgary, Alberta",Light factory,61.5,1984,76.6
2011,45308.64,2015,436300,391500,556300,362600,313300,1981,"Calgary, Alberta",Light factory,63.2,1984,74.6
2011,44974.8,2015,439000,393700,560300,364900,314000,1981,"Calgary, Alberta",School,63.4,1984,92.4
2011,45119.36,2015,440000,394500,562700,366200,314400,1981,"Calgary, Alberta",School,62.3,1984,93.5
2011,45224.92,2015,441200,395200,564300,366600,315600,1981,"Calgary, Alberta",School,65.9,1984,92.7
2011,45866.6,2015,443200,397000,566700,367400,317700,1981,"Calgary, Alberta",School,57.6,1984,93.5
2011,45782.88,2015,443700,397000,567400,368500,318600,1981,"Calgary, Alberta",School,63.2,1984,92.8
2011,45963.32,2015,445200,396700,570400,370600,319900,1981,"Edmonton, Alberta",Office,65.9,1984,0
2012,45934.72,2015,445500,397600,571000,371900,318600,1981,"Edmonton, Alberta",Office,65.3,1984,0
2012,46158.84,2016,449200,400700,577500,374000,320300,1981,"Edmonton, Alberta",Office,69.1,1984,63.4
2012,46280,2016,455900,406200,587000,377800,325800,1981,"Edmonton, Alberta",Office,58.5,1984,4
2012,46221.76,2016,463800,412600,598700,384200,329700,1981,"Edmonton, Alberta",Office,66,1984,64.5
2012,46169.76,2016,472300,420300,611300,390700,334000,1981,"Edmonton, Alberta",Warehouse,69.9,1984,77.1
