consumer_index_year,consumer_index_value,office_year,office_index_value,earnings_year,earnings_canada,housing_prices_year,single_family_benchmark,single_family_hpi
1990,0.9,1987,67.7,,,,,
1990,0,1987,59.6,,,,,
1990,0,1987,69,,,,,
1990,80,1987,69.3,,,,,
1990,,1987,65.9,,,,,
1990,3.8,1987,69.3,,,,,
1990,79.7,1987,69.5,,,,,
1990,95.1,1987,79.9,,,,,
1990,94.4,1987,62.3,,,,,
1990,95,1987,66.2,,,,,
1990,94.4,1987,65,,,,,
1990,117,1987,58.1,,,,,
1990,115.9,1987,63.9,,,,,
1990,117.4,1987,66.4,,,,,
1990,115.9,1987,66.2,,,,,
1990,117.5,1987,69.6,,,,,
1990,0.6,1987,61.8,,,,,
1990,0.6,1987,63.8,,,,,
1990,0.2,1987,64,,,,,
1990,0.2,1987,51.3,,,,,
1990,80.2,1987,70.4,,,,,
1990,,1987,63.4,,,,,
1990,4.1,1987,76.6,,,,,
1990,80,1987,64.7,,,,,
1990,95.5,1987,56.9,,,,,
1990,94.6,1987,68.1,,,,,
1990,95.4,1987,61.5,,,,,
1990,94.7,1987,73.5,,,,,
1990,117.3,1987,64.8,,,,,
1990,116.4,1987,54.1,,,,,
1990,117.6,1987,67.3,,,,,
1990,116.4,1987,67.4,,,,,
1990,117.8,1987,82.3,,,,,
1990,0.3,1987,63.6,,,,,
1990,0.3,1987,56.4,,,,,
1990,0,1987,70.9,,,,,
1990,0,1987,61.3,,,,,
1990,80.5,1987,67.7,,,,,
1990,,1987,62.4,,,,,
1990,4,1987,52.3,,,,,
1990,80.3,1987,66.5,,,,,
1990,95.9,1987,63.1,,,,,
1990,95,1987,66.4,,,,,
1990,95.7,1987,63.6,,,,,
1990,95,1987,54.6,,,,,
1990,117.7,1987,69.1,,,,,
1990,117,1987,62.7,,,,,
1990,118.2,1987,68.2,,,,,
1990,116.7,1987,65,,,,,
1990,118.2,1987,60.1,,,,,
1990,0.3,1987,67,,,,,
1990,0.3,1987,65.4,,,,,
1990,0,1987,68.6,,,,,
1990,0,1987,66.9,,,,,
1990,80.8,1987,58,,,,,
1990,,1987,68.9,,,,,
1990,3.9,1987,74.1,,,,,
1990,80.4,1987,71.7,,,,,
1990,96,1987,62.9,,,,,
1990,95.4,1987,59.1,,,,,
1990,96,1987,67.2,,,,,
1990,95.4,1987,63.5,,,,,
1990,117.9,1987,60.5,,,,,
1990,117.1,1987,65.4,,,,,
1990,118.6,1987,58.1,,,,,
1990,117.1,1987,69.3,,,,,
1990,118.6,1987,66.2,,,,,
1990,0.3,1987,63.8,,,,,
1990,0.3,1987,71.2,,,,,
1990,0,1987,69.7,,,,,
1990,0,1987,72.6,,,,,
1990,81,1987,70.5,,,,,
1990,,1987,72,,,,,
1990,4,1987,72,,,,,
1990,80.6,1987,66.9,,,,,
1990,96.2,1987,73.6,,,,,
1990,95.7,1987,75.4,,,,,
1990,96.5,1987,74.5,,,,,
1990,95.8,1987,71,,,,,
1990,118.3,1987,67,,,,,
1990,117.4,1987,71.4,,,,,
1990,119,1987,74.1,,,,,
1990,117.6,1987,77.7,,,,,
1990,119.2,1987,70.5,,,,,
1990,0.3,1987,68.7,,,,,
1990,0.3,1987,73.9,,,,,
1990,0,1987,70,,,,,
1990,0,1987,65.8,,,,,
1990,81.5,1987,71.2,,,,,
1990,,1987,70.4,,,,,
1990,4.2,1987,72.8,,,,,
1990,81.3,1987,73.3,,,,,
1990,97.1,1987,64.8,,,,,
1990,96.3,1987,71.5,,,,,
1990,97.2,1987,69.5,,,,,
1990,96.2,1987,73.6,,,,,
1990,119,1987,66.2,,,,,
1990,118.4,1987,69,,,,,
1990,119.7,1987,72.3,,,,,
1990,118.5,1987,82.8,,,,,
1990,119.7,1987,84.1,,,,,
1990,0.3,1987,90.3,,,,,
1990,0.3,1987,70,,,,,
1990,0,1987,78.4,,,,,
1990,0,1987,88.1,,,,,
1990,81.8,1987,88,,,,,
1990,,1987,91.9,,,,,
1990,4.3,1987,73,,,,,
1990,81.9,1987,79.3,,,,,
1990,97.7,1987,88.5,,,,,
1990,96.6,1987,88.9,,,,,
1990,97.6,1987,91.2,,,,,
1990,96.4,1987,80,,,,,
1990,119.3,1987,84.8,,,,,
1990,119.1,1987,82.6,,,,,
1990,120.2,1987,90,,,,,
1990,119,1987,89.8,,,,,
1990,119.9,1987,66.3,,,,,
1990,0.3,1987,76.3,,,,,
1990,0.3,1987,82.7,,,,,
1990,0,1987,88,,,,,
1990,0,1987,88,,,,,
1990,81.8,1987,74.4,,,,,
1990,,1987,75,,,,,
1990,4.2,1987,76,,,,,
1990,81.8,1987,75.8,,,,,
1990,97.6,1987,81.2,,,,,
1990,96.6,1987,67.1,,,,,
1990,97.8,1987,69.4,,,,,
1990,96.7,1987,79.7,,,,,
1990,119.1,1987,77.4,,,,,
1990,119,1987,83.2,,,,,
1990,120.1,1987,65.7,,,,,
1990,119.3,1987,73.3,,,,,
1990,120.3,1987,83.1,,,,,
1990,0.3,1987,78,,,,,
1990,0.3,1987,84,,,,,
1990,0,1987,80.9,,,,,
1990,0,1987,85.2,,,,,
2000,94.9,1987,72.5,,,,,
2000,95.3,1987,73.3,,,,,
2000,1.4,1987,78.1,,,,,
2000,94,1987,64.7,,,,,
2000,94.5,1987,70.5,,,,,
2000,112.3,1987,74.2,,,,,
2000,112,1987,72.8,,,,,
2000,112.8,1987,78.8,,,,,
2000,112.6,1987,69,,,,,
2000,0,1987,65.8,,,,,
2000,0,1987,66.6,,,,,
2000,0,1987,62,,,,,
2000,0,1987,70.9,,,,,
2000,95.3,1987,64,,,,,
2000,95.5,1987,71,,,,,
2000,1.6,1987,65.5,,,,,
2000,94.6,1987,61.4,,,,,
2000,94.8,1987,67,,,,,
2000,112.9,1987,62,,,,,
2000,112.6,1987,72.6,,,,,
2000,113.2,1987,68.1,,,,,
2000,112.8,1987,63.2,,,,,
2000,0,1987,67.1,,,,,
2000,0,1987,72.1,,,,,
2000,0,1987,86.6,,,,,
2000,0,1987,62.3,,,,,
2000,95.7,1987,63.6,,,,,
2000,95.7,1987,65.5,,,,,
